cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,fuel (L/100km)
4,73.0,   69.00  ,1614.0,18.0,71,3,"   ""amc hornet""",6.720285714285715
8,350.0,   149.0  ,4333.0,14.5,77,1,"   ""plymouth satellite custom (sw)""",14.700625
8,303.0,   150.0  ,3670.0,12.5,72,1,"   ""ford galaxie 500""",13.835882352941177
4,112.0,   88.00  ,2641.0,18.6,82,1,"   ""volkswagen rabbit custom""",8.711481481481481
8,308.0,   200.0  ,4375.0,15.0,70,1,"   ""ford maverick""",23.521
8,350.0,   145.0  ,4054.0,11.0,76,1,"   ""mercury zephyr""",18.093076923076925
4,97.0,   65.00  ,2378.0,21.7,81,1,"   ""honda accord""",7.866555183946489
4,80.0,   67.00  ,1999.0,15.0,74,2,"   ""ford fairmont futura""",7.58741935483871
4,97.0,   79.00  ,2254.0,18.7,76,1,"   ""ford fairmont 4""",9.046538461538463
4,142.0,   71.00  ,3189.0,23.8,79,2,"   ""mercedes-benz 280s""",8.647426470588236
4,121.0,   110.0  ,2659.0,14.0,73,2,"   ""chevrolet chevelle malibu""",9.800416666666667
8,359.0,   175.0  ,3822.0,10.0,73,1,"   ""datsun 280-zx""",18.093076923076925
8,351.0,   152.0  ,4215.0,13.8,76,1,"   ""datsun b210""",16.22137931034483
4,135.0,   84.00  ,2294.0,12.6,82,1,"   ""oldsmobile cutlass supreme""",7.3503125
4,98.0,   88.00  ,2100.0,17.5,72,3,"   ""toyota corona""",8.711481481481481
4,76.0,   52.00  ,1649.0,15.5,74,3,"   ""buick opel isuzu deluxe""",7.58741935483871
5,130.0,   103.0  ,2829.0,16.9,78,2,"   ""chevrolet chevette""",11.586699507389163
4,92.0,   69.00  ,2129.0,13.7,79,2,"   ""fiat 128""",6.305898123324398
4,150.0,   90.00  ,2948.0,18.3,82,1,"   ""datsun b-210""",8.711481481481481
4,89.0,   75.00  ,2126.0,14.5,74,1,"   ""subaru dl""",8.400357142857143
4,122.0,   86.00  ,2225.0,17.5,72,1,"   ""dodge colt""",11.200476190476191
4,97.0,   60.00  ,-2164.0,23.1,76,1,"   ""toyota corolla liftback""",9.600408163265307
8,349.0,   155.0  ,4502.0,14.5,72,1,"   ""ford maverick""",18.093076923076925
4,95.0,   69.00  ,2187.0,17.0,72,2,"   ""ford granada gl""",9.046538461538463
4,80.0,   67.00  ,1950.0,18.0,74,3,"   ""dodge monaco (sw)""",7.58741935483871
8,428.0,   208.0  ,4634.0,10.0,72,1,"   ""amc pacer d/l""",21.382727272727273
4,120.0,   74.00  ,2633.0,17.3,81,3,"   ""fiat strada custom""",7.443354430379746
6,197.0,   95.00  ,3102.0,15.5,74,1,"   ""chevrolet citation""",11.7605
4,150.0,   90.00  ,2735.0,17.0,82,1,"   ""pontiac phoenix lj""",8.711481481481481
8,302.0,   129.0  ,3167.0,11.0,75,1,"   ""plymouth valiant custom""",18.093076923076925
6,225.0,   105.0  ,3120.0,16.5,73,1,"   ""toyota corolla tercel""",13.067222222222222
4,122.0,   96.00  ,2299.0,15.5,77,1,"   ""saab 99le""",9.223921568627452
4,107.0,   75.00  ,2203.0,15.5,82,3,"   ""pontiac sunbird coupe""",6.533611111111111
4,120.0,   115.0  ,2671.0,13.5,75,2,"   ""toyota corona hardtop""",9.4084
6,232.0,   115.0  ,3245.0,14.4,79,1,"   ""ford pinto runabout""",10.94
6,201.0,   95.00  ,3153.0,18.2,78,1,"   ""toyota corona""",11.473658536585367
4,89.0,   76.00  ,2063.0,13.5,71,2,"   ""amc spirit dl""",7.840333333333334
4,120.0,   88.00  ,2161.0,15.5,82,3,"   ""fiat 124b""",6.533611111111111
4,79.0,   67.00  ,1962.0,14.5,74,2,"   ""mazda glc 4""",9.046538461538463
4,139.0,   92.00  ,2571.0,14.9,76,1,"   ""datsun 310""",9.4084
4,152.0,   90.00  ,2670.0,16.0,79,1,"   ""audi 4000""",8.282042253521128
4,122.0,   76.00  ,2511.0,19.0,72,2,"   ""volkswagen super beetle""",10.691363636363636
4,121.0,   97.00  ,2505.0,13.5,72,3,"   ""datsun 610""",10.226521739130435
4,155.0,   92.00  ,2618.0,15.399999999999999,81,1,"   ""volkswagen dasher""",9.116666666666667
4,112.0,   80.00  ,2156.0,15.8,77,1,"   ""chrysler lebaron medallion""",7.840333333333334
4,108.0,   70.00  ,2243.0,17.9,82,3,"   ""chevy c10""",6.917941176470588
8,318.0,   210.0  ,4381.0,14.5,70,1,"   ""dodge colt (sw)""",21.382727272727273
4,122.0,   88.00  ,2500.0,15.100000000000001,80,2,"   ""dodge aries se""",6.720285714285715
6,226.0,   100.0  ,3649.0,16.7,76,1,"   ""plymouth valiant""",11.7605
8,439.0,   215.0  ,4733.0,11.0,73,1,"   ""amc matador""",18.093076923076925
6,200.0,   85.00  ,2963.0,16.8,78,1,"   ""volkswagen jetta""",11.644059405940595
4,96.0,   75.00  ,2266.0,17.2,77,3,"   ""ford mustang""",9.046538461538463
4,122.0,   113.0  ,2235.0,13.5,70,2,"   ""chevrolet chevelle malibu""",9.046538461538463
4,108.0,   90.00  ,2430.0,14.5,70,2,"   ""toyota corolla""",9.800416666666667
4,121.0,   97.00  ,2487.0,14.0,74,3,"   ""saab 99gle""",9.800416666666667
8,305.0,   130.0  ,3838.0,14.4,79,1,"   ""mercury capri 2000""",13.835882352941177
6,172.0,   115.0  ,2596.0,11.3,79,1,"   ""ford maverick""",8.167013888888889
4,72.0,   65.00  ,1835.0,22.0,74,3,"   ""ford gran torino""",7.3503125
4,140.0,   72.00  ,2407.0,20.0,71,1,"   ""plymouth reliant""",10.691363636363636
6,232.0,   105.0  ,3425.0,17.9,77,1,"   ""volvo 245""",11.473658536585367
4,129.0,   102.0  ,3150.0,15.7,76,2,"   ""vw rabbit custom""",11.7605
6,225.0,   95.00  ,3786.0,19.0,75,1,"   ""chevrolet monte carlo landau""",13.067222222222222
4,89.0,   48.00  ,1985.0,21.5,78,2,"   ""mazda glc deluxe""",5.457308584686775
3,69.0,   97.00  ,2329.0,14.5,72,3,"   ""chrysler cordoba""",12.379473684210527
4,84.0,   ?      ,1836.0,16.3,80,2,"   ""volkswagen rabbit custom diesel""",5.750855745721272
4,140.0,   ?      ,2906.0,13.3,80,1,"   ""ford mustang cobra""",9.966525423728813
8,304.0,   145.0  ,3424.0,12.2,78,1,"   ""plymouth duster""",12.250520833333335
4,121.0,   112.0  ,2869.0,16.5,73,2,"   ""amc concord d/l""",12.379473684210527
4,97.0,   78.00  ,2186.0,16.8,80,2,"   ""pontiac catalina""",6.857434402332363
4,90.0,   70.00  ,1937.0,15.2,76,2,"   ""honda civic""",8.110689655172415
8,319.0,   140.0  ,3735.0,13.2,78,1,"   ""ford fiesta""",12.124226804123712
4,114.0,   95.00  ,2373.0,16.0,70,3,"   ""vw rabbit""",9.800416666666667
4,85.0,   65.00  ,2018.0,19.2,79,3,"   ""toyota corolla""",7.396540880503145
8,303.0,   150.0  ,3432.0,13.0,70,1,"   ""chevrolet vega""",14.700625
8,305.0,   193.0  ,4733.0,19.5,70,1,"   ""toyota cressida""",26.134444444444444
6,156.0,   107.0  ,2471.0,15.0,73,1,"   ""chevrolet concours""",11.200476190476191
8,352.0,   158.0  ,4362.0,14.0,73,1,"   ""mazda glc custom l""",18.093076923076925
6,232.0,   110.0  ,3414.0,14.8,81,1,"   ""dodge aspen""",10.50044642857143
4,98.5,   80.00  ,2125.0,17.0,72,1,"   ""audi 100ls""",9.4084
4,119.0,   97.00  ,2545.0,16.0,75,3,"   ""plymouth custom suburb""",9.800416666666667
8,350.0,   150.0  ,4697.0,15.5,74,1,"   ""oldsmobile omega brougham""",18.093076923076925
8,302.0,   130.0  ,3868.0,16.0,76,1,"   ""honda civic (auto)""",18.093076923076925
8,401.0,   180.0  ,4218.0,12.1,77,1,"   ""peugeot 504""",14.700625
6,250.0,   100.0  ,3282.0,16.0,71,1,"   ""toyota corolla 1600 (sw)""",12.379473684210527
6,172.0,   97.00  ,2985.0,14.5,75,1,"   ""honda accord cvcc""",13.067222222222222
4,140.0,   88.00  ,-2888.0,17.3,79,1,"   ""volkswagen dasher""",10.547533632286996
6,146.0,   120.0  ,2929.0,14.8,81,3,"   ""toyota carina""",9.719421487603306
4,120.0,   115.0  ,2794.0,15.7,78,2,"   ""buick regal sport coupe (turbo)""",10.88935185185185
4,105.0,   63.00  ,2216.0,13.9,81,1,"   ""renault lecar deluxe""",6.778386167146974
8,382.0,   170.0  ,3564.0,9.0,70,1,"   ""mazda 626""",15.680666666666667
4,141.0,   90.00  ,2264.0,16.5,71,1,"   ""plymouth horizon""",8.400357142857143
4,113.0,   85.00  ,2576.0,15.2,82,1,"   ""ford pinto""",7.58741935483871
6,226.0,   100.0  ,3232.0,15.399999999999999,76,1,"   ""datsun 510 hatchback""",10.691363636363636
6,145.0,   76.00  ,3161.0,20.6,81,2,"   ""buick skylark limited""",7.66156351791531
6,225.0,   95.00  ,3263.0,15.0,75,1,"   ""datsun 510 (sw)""",12.379473684210527
4,98.0,   71.00  ,1823.0,13.2,76,2,"   ""honda civic cvcc""",7.973220338983051
4,92.0,   60.00  ,1799.0,15.399999999999999,78,3,"   ""opel 1900""",6.515512465373961
4,119.0,   97.00  ,2404.0,14.9,78,3,"   ""plymouth reliant""",9.84142259414226
8,305.0,   150.0  ,4257.0,16.5,74,1,"   ""dodge dart custom""",16.800714285714285
8,400.0,   230.0  ,4277.0,9.5,73,1,"   ""ford maverick""",14.700625
8,308.0,   130.0  ,3504.0,13.0,70,1,"   ""dodge d200""",13.067222222222222
8,260.0,   90.00  ,3418.0,22.2,79,1,"   ""chevrolet chevelle malibu classic""",9.84142259414226
4,108.0,   75.00  ,2208.0,15.399999999999999,81,3,"   ""oldsmobile cutlass salon brougham""",6.979525222551929
5,121.0,   67.00  ,2948.0,18.9,80,2,"   ""ford ltd""",6.461813186813187
4,90.0,   67.00  ,1850.0,14.8,80,3,"   ""plymouth duster""",5.273766816143498
4,99.0,   83.00  ,2076.0,16.9,77,1,"   ""vw pickup""",7.021194029850746
4,86.0,   65.00  ,1975.0,16.2,79,3,"   ""renault 12tl""",6.897653958944281
8,400.0,   150.0  ,4996.0,13.0,73,1,"   ""chevrolet caprice classic""",21.382727272727273
8,439.0,   215.0  ,4310.0,8.5,70,1,"   ""datsun 200sx""",16.800714285714285
4,119.0,   75.00  ,2540.0,16.5,80,3,"   ""pontiac j2000 se hatchback""",7.514696485623003
6,226.0,   110.0  ,3358.0,15.600000000000001,79,1,"   ""saab 99e""",11.417961165048544
6,232.0,   100.0  ,2945.0,17.0,73,1,"   ""chrysler lebaron salon""",13.067222222222222
6,232.0,   110.0  ,3037.0,15.0,75,1,"   ""volvo 144ea""",11.200476190476191
8,350.0,   165.0  ,4275.0,11.0,72,1,"   ""buick lesabre custom""",18.093076923076925
8,302.0,   139.0  ,3206.0,12.2,78,1,"   ""ford f250""",12.995027624309392
4,96.0,   67.00  ,1985.0,17.4,77,3,"   ""pontiac grand prix lj""",7.840333333333334
8,359.0,   170.0  ,4653.0,14.0,73,1,"   ""datsun 210""",18.093076923076925
4,80.0,   58.00  ,1756.0,17.9,81,3,"   ""honda accord lx""",6.0156010230179024
6,233.0,   100.0  ,2787.0,15.0,73,1,"   ""volkswagen scirocco""",13.067222222222222
8,319.0,   145.0  ,4138.0,13.7,77,1,"   ""dodge coronet custom (sw)""",15.17483870967742
4,120.0,   112.0  ,2933.0,15.5,72,2,"   ""plymouth fury gran sedan""",13.067222222222222
6,200.0,   ?      ,2876.0,18.0,74,1,"   ""ford mustang gl""",11.200476190476191
6,163.0,   125.0  ,3139.0,13.6,78,2,"   ""buick century""",13.835882352941177
8,259.0,   110.0  ,3363.0,15.5,78,1,"   ""vw dasher (diesel)""",11.81959798994975
4,145.0,   67.00  ,3251.0,21.8,80,2,"   ""chevrolet nova""",7.840333333333334
8,399.0,   175.0  ,5141.0,13.0,71,1,"   ""toyota starlet""",18.093076923076925
4,98.0,   54.00  ,2253.0,23.5,72,2,"   ""dodge colt""",10.226521739130435
4,91.0,   68.00  ,2025.0,18.2,82,3,"   ""subaru dl""",6.357027027027027
4,136.0,   84.00  ,2526.0,15.0,82,1,"   ""datsun 1200""",8.110689655172415
8,301.0,   140.0  ,4140.0,15.0,74,1,"   ""peugeot 505s turbo diesel""",14.700625
3,70.0,   90.00  ,2124.0,14.5,73,3,"   ""oldsmobile omega""",13.067222222222222
4,152.0,   84.00  ,2636.0,17.4,81,1,"   ""ford granada ghia""",8.84248120300752
4,123.0,   86.00  ,2220.0,15.0,71,1,"   ""volvo 244dl""",10.226521739130435
4,145.0,   96.00  ,2663.0,12.9,82,3,"   ""mercury monarch""",7.3503125
8,430.0,   198.0  ,4340.0,11.0,70,1,"   ""chevy c20""",15.680666666666667
4,109.0,   94.00  ,-2377.0,16.5,73,3,"   ""mercury cougar brougham""",10.691363636363636
6,251.0,   105.0  ,3353.0,13.5,76,1,"   ""volvo 145e (sw)""",10.691363636363636
4,86.0,   70.00  ,1943.0,15.8,77,3,"   ""oldsmobile delta 88 royale""",7.021194029850746
6,225.0,   90.00  ,3380.0,19.7,80,1,"   ""plymouth valiant""",12.314659685863873
4,98.0,   66.00  ,1799.0,15.399999999999999,78,1,"   ""toyota mark ii""",6.515512465373961
4,140.0,   86.00  ,2791.0,16.6,82,1,"   ""mercury capri v6""",8.711481481481481
4,140.0,   75.00  ,2542.0,18.0,74,1,"   ""chevrolet monte carlo landau""",9.4084
8,350.0,   153.0  ,4154.0,12.5,71,1,"   ""toyota corolla 1200""",16.800714285714285
8,317.0,   150.0  ,4075.0,13.0,72,1,"   ""pontiac lemans v6""",16.800714285714285
8,351.0,   145.0  ,3987.0,14.0,73,1,"   ""volvo diesel""",18.093076923076925
8,399.0,   175.0  ,4383.0,12.0,72,1,"   ""mercury grand marquis""",16.800714285714285
4,89.0,   48.00  ,2335.0,24.7,80,2,"   ""plymouth fury iii""",5.419585253456222
4,106.0,   72.00  ,2288.0,17.0,80,3,"   ""plymouth satellite""",7.259567901234568
8,341.0,   160.0  ,-3610.0,9.0,70,1,"   ""dodge st. regis""",16.800714285714285
4,98.0,   65.00  ,2045.0,17.2,81,1,"   ""chevrolet impala""",6.8375
